代码,名称,最新价,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%)
002384,东山精密,92.7,28.16,3548485792.0,5.26,2511303808.0,3.72,1037181984.0,1.54,-2430359056.0,-3.6,-1118126688.0,-1.66
600150,中国船舶,38.76,10.77,2573086144.0,5.52,2219971648.0,4.77,353114496.0,0.76,-914853344.0,-1.96,-1658232752.0,-3.56
000988,华工科技,106.61,42.49,2524846919.0,2.86,2787066775.0,3.16,-262219856.0,-0.3,-1770557920.0,-2.01,-754289056.0,-0.85
002463,沪电股份,76.45,10.14,2171609456.0,3.26,1544212976.0,2.32,627396480.0,0.94,-2197132144.0,-3.3,25522736.0,0.04
002594,比亚迪,94.47,2.37,1601061194.0,3.39,1605823626.0,3.4,-4762432.0,-0.01,-1363310528.0,-2.89,-237750592.0,-0.5
601179,中国西电,18.11,25.16,1446494599.0,3.25,1745980263.0,3.92,-299485664.0,-0.67,-751844432.0,-1.69,-694650208.0,-1.56
600089,特变电工,32.78,18.13,1363219952.0,1.31,840959424.0,0.81,522260528.0,0.5,-1659549136.0,-1.59,296328976.0,0.28
601727,上海电气,9.46,8.61,1334396807.0,6.9,2136521047.0,11.05,-802124240.0,-4.15,-1022822786.0,-5.29,-311574044.0,-1.61
300303,聚飞光电,12.53,73.31,1269829128.0,6.02,1733396461.0,8.22,-463567333.0,-2.2,-459749153.0,-2.18,-810079970.0,-3.84
600875,东方电气,42.21,37.99,1268304672.0,2.7,411034672.0,0.87,857270000.0,1.82,-209757968.0,-0.45,-1058546672.0,-2.25
601600,中国铝业,14.79,11.04,1227561264.0,2.58,1262285488.0,2.65,-34724224.0,-0.07,-355614992.0,-0.75,-871946304.0,-1.83
300476,胜宏科技,284.95,8.18,1223603952.0,1.01,2083492960.0,1.71,-859889008.0,-0.71,-2068508352.0,-1.7,844904368.0,0.69
002536,飞龙股份,37.01,29.13,1211157358.0,5.6,940542392.0,4.35,270614966.0,1.25,-542877936.0,-2.51,-668279381.0,-3.09
002272,川润股份,21.01,27.57,1181861618.0,5.46,1497237674.0,6.92,-315376056.0,-1.46,-639295711.0,-2.96,-542565931.0,-2.51
002281,光迅科技,78.92,12.86,1104586838.0,2.83,780109110.0,2.0,324477728.0,0.83,-503612032.0,-1.29,-600974864.0,-1.54
002028,思源电气,230.7,11.67,1078429061.0,4.8,15466629.0,0.07,1062962432.0,4.73,-544354224.0,-2.42,-534074824.0,-2.38
600010,包钢股份,3.1,16.1,1042606000.0,1.54,872048160.0,1.29,170557840.0,0.25,-1090223760.0,-1.61,47617664.0,0.07
002195,岩山科技,10.69,7.11,1011741376.0,1.65,2635537184.0,4.29,-1623795808.0,-2.64,-1543959728.0,-2.51,532218304.0,0.87
600584,长电科技,48.7,5.43,966083472.0,2.39,495521072.0,1.23,470562400.0,1.16,-50437008.0,-0.12,-915646400.0,-2.27
002916,深南电路,268.16,11.06,881434258.0,3.15,338402178.0,1.21,543032080.0,1.94,-390865632.0,-1.4,-490568656.0,-1.75
600989,宝丰能源,27.19,14.1,865559251.0,2.49,85241680.0,0.25,780317571.0,2.25,-20796288.0,-0.06,-844762914.0,-2.43
688256,寒武纪-U,1168.0,8.26,835669664.0,0.85,1846446064.0,1.87,-1010776400.0,-1.02,-804058278.0,-0.82,-31611191.0,-0.03
000807,云铝股份,35.46,10.67,794565731.0,3.13,177273187.0,0.7,617292544.0,2.43,-546305984.0,-2.15,-248259808.0,-0.98
688072,拓荆科技,384.69,19.42,768734632.0,2.99,576094909.0,2.24,192639723.0,0.75,-691688096.0,-2.69,-77046574.0,-0.3
600744,华银电力,9.04,41.69,755792184.0,4.25,1061494671.0,5.97,-305702487.0,-1.72,-479945638.0,-2.7,-275846482.0,-1.55
603083,剑桥科技,113.18,11.54,733382504.0,2.75,567609194.0,2.13,165773310.0,0.62,-233890608.0,-0.88,-499491840.0,-1.88
300285,国瓷材料,35.51,13.09,723421858.0,3.41,361596239.0,1.71,361825619.0,1.71,-440463184.0,-2.08,-282958632.0,-1.33
000338,潍柴动力,27.91,7.47,716631520.0,1.62,259649488.0,0.59,456982032.0,1.03,-130093568.0,-0.29,-586537936.0,-1.33
300870,欧陆通,293.21,27.74,714966433.0,4.2,334600213.0,1.97,380366220.0,2.24,-354435264.0,-2.08,-360531221.0,-2.12
600516,方大炭素,6.88,19.65,713220073.0,7.72,543999427.0,5.89,169220646.0,1.83,-202571128.0,-2.19,-510648931.0,-5.53
300567,精测电子,146.67,11.02,709840848.0,3.69,200348009.0,1.04,509492839.0,2.65,124174736.0,0.64,-834015568.0,-4.33
000547,航天发展,31.61,12.89,653896272.0,0.87,3569965616.0,4.74,-2916069344.0,-3.87,-2268951808.0,-3.01,1615055552.0,2.14
002491,通鼎互联,12.2,27.22,640146133.0,2.53,1289189833.0,5.09,-649043700.0,-2.56,-456585221.0,-1.8,-183561000.0,-0.72
001309,德明利,256.11,8.53,638556960.0,2.25,688902816.0,2.43,-50345856.0,-0.18,-614163648.0,-2.17,-24393296.0,-0.09
600550,保变电气,19.03,24.38,634279863.0,2.26,1236249703.0,4.4,-601969840.0,-2.14,-602080528.0,-2.14,-32199328.0,-0.11
601088,中国神华,45.88,7.05,622250963.0,3.3,31250886.0,0.17,591000077.0,3.14,-67734818.0,-0.36,-554516131.0,-2.94
300782,卓胜微,82.77,10.13,614184357.0,6.96,276504708.0,3.13,337679649.0,3.83,-147278921.0,-1.67,-466905423.0,-5.29
601611,中国核建,16.79,9.74,607670869.0,4.78,570568861.0,4.49,37102008.0,0.29,-146082031.0,-1.15,-461588833.0,-3.63
000725,京东方Ａ,4.46,3.96,593329296.0,1.82,508775216.0,1.56,84554080.0,0.26,-459738496.0,-1.41,-133590848.0,-0.41
000592,平潭发展,12.2,12.55,590339390.0,1.44,1599064014.0,3.9,-1008724624.0,-2.46,-927573216.0,-2.26,337233808.0,0.82
001339,智微智能,65.61,22.87,590067935.0,7.08,475537891.0,5.7,114530044.0,1.37,-370009673.0,-4.44,-220058269.0,-2.64
603688,石英股份,53.04,22.92,575088725.0,3.88,656116546.0,4.43,-81027821.0,-0.55,-303086860.0,-2.05,-272001842.0,-1.84
600406,国电南瑞,29.51,14.47,574448552.0,1.86,103929800.0,0.34,470518752.0,1.52,332889472.0,1.08,-907337968.0,-2.93
688668,鼎通科技,147.18,-2.21,573848389.0,6.03,120033005.0,1.26,453815384.0,4.77,-114339122.0,-1.2,-459509243.0,-4.83
002851,麦格米特,128.59,12.87,566265795.0,2.18,279554003.0,1.08,286711792.0,1.1,-350149536.0,-1.35,-216116272.0,-0.83
300475,香农芯创,138.35,4.05,553809952.0,1.67,594146240.0,1.79,-40336288.0,-0.12,-262916688.0,-0.79,-290893168.0,-0.88
300708,聚灿光电,12.52,28.15,544073377.0,6.27,643910926.0,7.43,-99837549.0,-1.15,-189937477.0,-2.19,-354135919.0,-4.08
002498,汉缆股份,8.94,59.93,522972679.0,2.46,1304251372.0,6.14,-781278693.0,-3.68,-770633905.0,-3.63,247661168.0,1.17
002897,意华股份,69.8,25.09,516325519.0,3.53,375075077.0,2.57,141250442.0,0.97,-70089792.0,-0.48,-446235712.0,-3.05
301489,思泉新材,196.7,16.49,497343169.0,4.04,480719063.0,3.9,16624106.0,0.14,-107248993.0,-0.87,-390094153.0,-3.17
600110,诺德股份,7.84,15.63,454981481.0,4.15,569729238.0,5.2,-114747757.0,-1.05,-311716979.0,-2.84,-143264505.0,-1.31
