代码,名称,最新价,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%)
300502,新易盛,401.24,8.63,2568623872.0,9.17,2913632000.0,10.4,-345008128.0,-1.23,-1660583680.0,-5.93,-908040448.0,-3.24
002195,岩山科技,10.69,9.98,2476734080.0,30.61,2688439424.0,33.22,-211705344.0,-2.62,-1172198112.0,-14.48,-1304535984.0,-16.12
601727,上海电气,9.46,10.0,2316614784.0,45.33,2602498896.0,50.93,-285884112.0,-5.59,-1205342096.0,-23.59,-1111272704.0,-21.75
601179,中国西电,18.11,10.02,1251775440.0,21.89,1422410464.0,24.87,-170635024.0,-2.98,-525218912.0,-9.18,-726556544.0,-12.7
300750,宁德时代,350.25,3.35,1094369936.0,10.11,948042208.0,8.76,146327728.0,1.35,-575620816.0,-5.32,-518749104.0,-4.79
000547,航天发展,31.61,7.7,1074724960.0,11.29,1411839360.0,14.83,-337114400.0,-3.54,-552436144.0,-5.8,-522288832.0,-5.49
600089,特变电工,32.78,6.19,1058536896.0,5.9,764420544.0,4.26,294116352.0,1.64,-325434880.0,-1.81,-733102224.0,-4.09
300308,中际旭创,557.0,3.34,1027147008.0,4.79,1110431744.0,5.18,-83284736.0,-0.39,-1026697216.0,-4.79,-449754.0,0.0
600703,三安光电,16.13,10.03,748992693.0,58.48,1007563769.0,78.66,-258571076.0,-20.19,-417217079.0,-32.57,-331775618.0,-25.9
002471,中超控股,9.04,9.98,718693830.0,35.75,820841465.0,40.83,-102147635.0,-5.08,-318630368.0,-15.85,-400063456.0,-19.9
601138,工业富联,55.1,2.49,711011840.0,9.43,754936800.0,10.02,-43924960.0,-0.58,-495123232.0,-6.57,-215888624.0,-2.86
600516,方大炭素,6.88,10.08,679320960.0,23.64,686425056.0,23.89,-7104096.0,-0.25,-275454624.0,-9.59,-403866320.0,-14.05
