代码,名称,最新价,所属板块,板块代码,今日主力净占比(%),今日排名,今日涨跌幅(%),5日主力净占比(%),5日排名,5日涨跌幅(%),10日主力净占比(%),10日排名,10日涨跌幅(%),市场标识,更新时间戳
002449,国星光电,8.76,光学光电子,BK1038,61.69,1,10.05,9.27,46,-0.34,5.47,85,2.34,0,1772696082
600703,三安光电,16.13,光学光电子,BK1038,58.48,3,10.03,1.54,727,-0.31,0.91,825,1.9,1,1772698297
000536,华映科技,4.74,光学光电子,BK1038,56.45,4,9.98,10.0,36,0.64,4.69,128,1.28,0,1772696061
002498,汉缆股份,8.94,电网设备,BK0457,50.29,5,9.96,0.54,1039,6.68,2.46,386,59.93,0,1772696076
002429,兆驰股份,10.22,黑色家电,BK1241,48.59,6,10.01,-7.44,4418,-2.85,-5.64,4392,-9.8,0,1772696061
605268,王力安防,12.67,家居用品,BK0440,48.57,7,9.98,19.67,2,15.39,10.48,10,10.56,1,1772698295
002235,安妮股份,10.62,造纸,BK1267,45.63,8,10.05,2.54,489,0.19,-0.14,1308,-1.48,0,1772696046
601727,上海电气,9.46,其他电源设备Ⅱ,BK1034,45.33,9,10.0,10.84,22,3.73,6.9,42,8.61,1,1772698305
600545,卓郎智能,3.77,专用设备,BK0910,42.18,10,9.91,1.66,697,10.56,2.08,477,26.51,1,1772698297
002355,兴民智通,7.33,汽车零部件,BK0481,41.75,11,10.06,-1.19,1733,-0.68,-0.23,1355,6.23,0,1772696046
000727,冠捷科技,2.73,光学光电子,BK1038,41.46,12,10.08,18.76,3,3.41,12.33,5,4.6,0,1772696052
000533,顺钠股份,13.53,电网设备,BK0457,41.46,13,10.0,5.33,158,14.47,4.7,127,23.9,0,1772696064
600666,奥瑞德,3.98,光学光电子,BK1038,40.51,14,9.94,1.99,611,0.25,0.62,940,3.92,1,1772698318
300269,联建光电,8.64,光学光电子,BK1038,39.87,15,20.0,4.72,210,2.37,-0.28,1384,2.49,0,1772696043
600828,茂业商业,6.53,一般零售,BK0482,38.82,16,9.93,9.81,40,4.98,2.72,334,0.62,1,1772698304
900940,大名城B,0.234,房地产开发,BK0451,38.15,17,0.86,17.59,5,-1.68,3.82,187,-2.09,1,1772698311
002983,芯瑞达,25.41,光学光电子,BK1038,37.03,18,10.0,-0.13,1288,-2.16,0.04,1209,-0.35,0,1772696076
603688,石英股份,53.04,非金属材料Ⅱ,BK1020,36.71,19,10.0,-0.39,1380,6.23,3.88,183,22.92,1,1772698309
002471,中超控股,9.04,电网设备,BK0457,35.75,20,9.98,3.29,372,-3.21,-0.53,1518,-2.8,0,1772696052
300162,雷曼光电,9.48,光学光电子,BK1038,34.5,21,20.0,10.62,26,6.52,6.54,48,12.46,0,1772696049
002456,欧菲光,9.78,光学光电子,BK1038,34.37,22,10.01,1.8,661,0.0,-0.75,1635,-1.31,0,1772696085
000045,深纺织Ａ,13.2,光学光电子,BK1038,32.22,23,10.0,2.81,439,-0.68,-0.17,1323,0.3,0,1772696067
