代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),10日主力净流入最大股,最大股代码,最大股市场标识
BK0162,宁夏板块,10898.34,5.68,1003900672.0,1.02,1099458208.0,1.12,-95557536.0,-0.1,-753126912.0,-0.77,-52383872.0,-0.05,宝丰能源,600989,1
BK0154,广西板块,10482.96,-1.06,-729553376.0,-0.77,289413712.0,0.31,-1018967088.0,-1.08,-707758224.0,-0.75,1342596304.0,1.42,粤桂股份,000833,0
BK0148,吉林板块,22751.38,-1.61,-1476068288.0,-1.48,264006768.0,0.26,-1740075056.0,-1.74,-625955600.0,-0.63,1977476960.0,1.98,诺德股份,600110,1
BK0163,青海板块,5793.45,4.82,-1793587840.0,-1.87,-1451519344.0,-1.51,-342068496.0,-0.36,574517376.0,0.6,1219070432.0,1.27,金瑞矿业,600714,1
BK0167,山西板块,12150.89,1.35,-2115498256.0,-1.21,26382288.0,0.02,-2141880544.0,-1.23,-167240624.0,-0.1,2069284688.0,1.19,晋控电力,000767,0
BK0146,黑龙江,8674.98,-1.41,-2362701584.0,-2.65,-799397680.0,-0.9,-1563303904.0,-1.75,-126827472.0,-0.14,2455473376.0,2.75,奥瑞德,600666,1
BK0147,新疆板块,24598.31,2.26,-2370168416.0,-0.61,-1617589600.0,-0.42,-752578816.0,-0.2,-1467683840.0,-0.38,4172989440.0,1.08,特变电工,600089,1
BK0174,西藏板块,26620.87,-1.68,-2629862080.0,-3.22,-1372710016.0,-1.68,-1257152064.0,-1.54,582866512.0,0.71,2046995552.0,2.51,易明医药,002826,0
BK0152,甘肃板块,22222.54,1.56,-3176495216.0,-1.79,-605040976.0,-0.34,-2571454240.0,-1.45,-275874448.0,-0.16,3452369488.0,1.95,方大炭素,600516,1
BK0175,内蒙古,29975.64,1.38,-3656844768.0,-1.04,-2404020704.0,-0.69,-1252824064.0,-0.36,-551136000.0,-0.16,4128274944.0,1.18,包钢股份,600010,1
BK0161,辽宁板块,22276.03,-1.18,-3767362240.0,-1.48,-693285120.0,-0.27,-3074077120.0,-1.21,117634048.0,0.05,3066691584.0,1.2,拓荆科技,688072,1
BK0171,云南板块,20532.19,0.83,-4202384208.0,-1.47,-1485231872.0,-0.52,-2717152336.0,-0.95,8695040.0,0.0,4159121808.0,1.45,云铝股份,000807,0
BK0176,海南板块,10739.35,-0.11,-5246951600.0,-2.26,-237325008.0,-0.1,-5009626592.0,-2.16,415799808.0,0.18,4831152288.0,2.08,洲际油气,600759,1
BK0173,贵州板块,33379.99,-0.65,-6886837824.0,-4.19,-3083787296.0,-1.88,-3803050528.0,-2.31,5372737792.0,3.27,1495356048.0,0.91,中伟新材,300919,0
BK0157,湖北板块,22576.21,-0.29,-7406922752.0,-0.93,-723752704.0,-0.09,-6683170048.0,-0.84,-1182848000.0,-0.15,8180259328.0,1.03,华工科技,000988,0
BK0155,河北板块,19036.62,0.26,-8104934720.0,-2.15,-2482023952.0,-0.66,-5622910768.0,-1.49,-293235968.0,-0.08,8318583808.0,2.21,保变电气,600550,1
