代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),今日主力净流入最大股,最大股代码,最大股市场标识
BK0145,上海板块,24071.79,1.31,6129756672.0,3.1,7238219520.0,3.66,-1108462848.0,-0.56,-3965256448.0,-2.01,-2180166912.0,-1.1,岩山科技,002195,0
BK0153,广东板块,45587.38,1.64,2856965888.0,0.74,2057926400.0,0.53,799039488.0,0.21,-2179330048.0,-0.56,-620208128.0,-0.16,工业富联,601138,1
BK0159,江苏板块,35225.83,1.43,2723925504.0,1.0,3644306432.0,1.33,-920380928.0,-0.34,-1699123200.0,-0.62,-1086251008.0,-0.4,中超控股,002471,0
BK0157,湖北板块,22576.21,1.35,1648311552.0,1.88,1940438528.0,2.22,-292126976.0,-0.33,-724826112.0,-0.83,-957154304.0,-1.09,三安光电,600703,1
BK0169,四川板块,29129.82,0.97,1418639872.0,1.43,2495859712.0,2.51,-1077219840.0,-1.08,-1529090560.0,-1.54,103389184.0,0.1,新易盛,300502,0
BK0147,新疆板块,24598.31,-0.14,955863552.0,1.9,808676352.0,1.61,147187200.0,0.29,-134069760.0,-0.27,-842741248.0,-1.67,特变电工,600089,1
BK0164,山东板块,23484.24,1.06,755412480.0,0.66,1410969856.0,1.23,-655557376.0,-0.57,-1432125696.0,-1.25,595185920.0,0.52,中际旭创,300308,0
BK0162,宁夏板块,10898.34,1.27,403445760.0,3.16,419068496.0,3.28,-15622736.0,-0.12,-235849408.0,-1.85,-150138944.0,-1.18,美利云,000815,0
BK0161,辽宁板块,22276.03,0.85,384702176.0,1.61,272527328.0,1.14,112174848.0,0.47,-259593728.0,-1.09,-184425728.0,-0.77,大连电瓷,002606,0
BK0151,福建板块,28063.24,1.17,177896960.0,0.17,1179124736.0,1.15,-1001227776.0,-0.98,-1193882624.0,-1.16,952159488.0,0.93,宁德时代,300750,0
BK0152,甘肃板块,22222.54,0.67,68013328.0,0.37,422757296.0,2.29,-354743968.0,-1.92,-274104064.0,-1.49,206091008.0,1.12,方大炭素,600516,1
BK0154,广西板块,10482.96,1.12,64173712.0,0.63,124364896.0,1.22,-60191184.0,-0.59,54408320.0,0.53,-143411568.0,-1.4,恒逸石化,000703,0
BK0165,陕西板块,20578.87,0.65,48271616.0,0.09,662736640.0,1.27,-614465024.0,-1.17,111208192.0,0.21,-160184576.0,-0.31,中国西电,601179,1
BK0149,安徽板块,31422.84,0.96,37025536.0,0.05,70519552.0,0.1,-33494016.0,-0.05,-366291712.0,-0.53,261320192.0,0.38,国盾量子,688027,1
BK0146,黑龙江,8674.98,0.79,9089520.0,0.11,172292272.0,2.0,-163202752.0,-1.9,-107011200.0,-1.24,96152352.0,1.12,奥瑞德,600666,1
BK0163,青海板块,5793.45,1.03,2413760.0,0.03,105046064.0,1.25,-102632304.0,-1.22,-81622304.0,-0.97,79208544.0,0.94,盐湖股份,000792,0
BK0156,河南板块,23825.47,1.37,-74157312.0,-0.12,302313984.0,0.49,-376471296.0,-0.61,-380623104.0,-0.62,355680768.0,0.58,黄河旋风,600172,1
BK0148,吉林板块,22751.38,1.04,-95657824.0,-1.13,-51777632.0,-0.61,-43880192.0,-0.52,-24100256.0,-0.29,100625984.0,1.19,金冠股份,300510,0
BK0166,天津板块,15849.56,1.35,-232868096.0,-0.62,-47781632.0,-0.13,-185086464.0,-0.49,-99493376.0,-0.26,329310720.0,0.88,百利电气,600468,1
BK0174,西藏板块,26620.87,0.72,-289708432.0,-4.03,-105457296.0,-1.47,-184251136.0,-2.56,17403856.0,0.24,272304560.0,3.79,西藏城投,600773,1
BK0155,河北板块,19036.62,0.72,-322609408.0,-0.83,348250368.0,0.89,-670859776.0,-1.72,-29917184.0,-0.08,349811456.0,0.9,保变电气,600550,1
BK0171,云南板块,20532.19,0.33,-332492384.0,-1.38,-477786720.0,-1.98,145294336.0,0.6,252083456.0,1.04,78774016.0,0.33,云铝股份,000807,0
BK0167,山西板块,12150.89,-0.03,-543713424.0,-3.31,-240832368.0,-1.47,-302881056.0,-1.84,250302464.0,1.52,296839424.0,1.81,晋控电力,000767,0
