代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),5日主力净流入最大股,最大股代码,最大股市场标识
BK0948,MicroLED,1416.08,1.6,1252681600.0,1.06,2784149120.0,2.35,-1531467520.0,-1.29,-501161728.0,-0.42,-751520512.0,-0.64,聚飞光电,300303,0
BK0951,刀片电池,3219.08,-1.04,1222245408.0,1.74,1739705648.0,2.47,-517460240.0,-0.74,-1648098880.0,-2.34,425853152.0,0.61,比亚迪,002594,0
BK1636,红利破净股,1040.29,0.99,1086614112.0,0.68,1865652320.0,1.17,-779038208.0,-0.49,-513604352.0,-0.32,-573009920.0,-0.36,农业银行,601288,1
BK1057,电子纸概念,1240.5,-0.11,614181600.0,1.23,756996176.0,1.51,-142814576.0,-0.29,-457254016.0,-0.91,-156927632.0,-0.31,京东方Ａ,000725,0
BK1007,植物照明,1297.9,0.46,297772752.0,0.67,1485472656.0,3.33,-1187699904.0,-2.66,-99967456.0,-0.22,-197805296.0,-0.44,聚飞光电,300303,0
BK1069,智慧灯杆,1869.77,-1.38,294786144.0,0.64,809759712.0,1.76,-514973568.0,-1.12,-302469168.0,-0.66,-1881312.0,0.0,润建股份,002929,0
BK1065,气溶胶检测,1813.9,-0.87,227399584.0,0.73,221263136.0,0.71,6136448.0,0.02,-37298704.0,-0.12,-190100864.0,-0.61,京东方Ａ,000725,0
BK0949,氦气概念,2952.83,5.24,178543936.0,0.23,777099648.0,1.01,-598555712.0,-0.78,255431808.0,0.33,-433976160.0,-0.57,广钢气体,688548,1
BK0492,煤化工概念,13142.68,2.89,161571328.0,0.04,-2027219968.0,-0.51,2188791296.0,0.55,912758272.0,0.23,-1075929088.0,-0.27,中国神华,601088,1
BK1077,统一大市场,1467.4,-1.13,130836352.0,0.24,181235680.0,0.34,-50399328.0,-0.09,229823728.0,0.43,287536960.0,0.53,国航远洋,920571,0
BK0672,沪企改革,2923.68,-3.96,86622208.0,0.14,1819534400.0,2.86,-1732912192.0,-2.73,-574954256.0,-0.9,488331920.0,0.77,上海电气,601727,1
BK1092,麒麟电池,2088.87,-2.01,40295152.0,0.05,1673750624.0,2.05,-1633455472.0,-2.0,-943487792.0,-1.15,903192384.0,1.1,宁德时代,300750,0
BK0636,B股,944.58,-1.39,23097483.0,1.54,9627958.0,0.64,13469525.0,0.9,39085946.0,2.61,-62183430.0,-4.16,古井贡Ｂ,200596,0
BK0947,屏下摄像,1032.71,-0.7,14412432.0,0.02,474758912.0,0.7,-460346480.0,-0.68,-603373168.0,-0.89,588960592.0,0.86,京东方Ａ,000725,0
BK1095,钒电池,1634.69,0.42,-8903632.0,-0.01,2325905200.0,1.79,-2334808832.0,-1.8,-1067335424.0,-0.82,1076238080.0,0.83,上海电气,601727,1
BK0685,举牌,3100.57,-0.56,-36811499.0,-1.29,-20770820.0,-0.73,-16040679.0,-0.56,118052717.0,4.14,-81241217.0,-2.85,同济科技,600846,1
BK0887,鸡肉概念,789.6,-1.63,-39289873.0,-0.19,-145188833.0,-0.71,105898960.0,0.52,39403072.0,0.19,-113216.0,0.0,圣农发展,002299,0
BK1142,裸眼3D,1396.82,-2.91,-44821680.0,-0.07,1001251760.0,1.53,-1046073440.0,-1.59,-688571936.0,-1.05,733393472.0,1.12,京东方Ａ,000725,0
BK1084,数字哨兵,1633.3,-4.86,-146725409.0,-0.98,261482655.0,1.75,-408208064.0,-2.73,22837392.0,0.15,123887984.0,0.83,云赛智联,600602,1
