代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),今日主力净流入最大股,最大股代码,最大股市场标识
BK0821,MSCI中国,1539.74,0.76,10734575616.0,1.08,14084530176.0,1.42,-3349954560.0,-0.34,-10781319168.0,-1.09,46743552.0,0.0,新易盛,300502,0
BK0577,核能核电,3261.03,2.58,9064630272.0,5.86,9166001664.0,5.92,-101371392.0,-0.07,-3836595712.0,-2.48,-5200435456.0,-3.36,上海电气,601727,1
BK1059,百元股,858.51,1.28,7711457280.0,2.04,7022088192.0,1.86,689369088.0,0.18,-5378813952.0,-1.42,-2441818368.0,-0.65,新易盛,300502,0
BK0595,风能,2989.02,1.8,6980204288.0,3.29,7045946368.0,3.32,-65742080.0,-0.03,-2675419392.0,-1.26,-4326703360.0,-2.04,上海电气,601727,1
BK0989,储能概念,2570.81,1.77,6709910784.0,2.14,7406988544.0,2.37,-697077760.0,-0.22,-3162546176.0,-1.01,-3582414848.0,-1.15,上海电气,601727,1
BK0864,氢能源,1706.1,1.96,6660251136.0,3.92,5862316032.0,3.45,797935104.0,0.47,-2818080512.0,-1.66,-3771147520.0,-2.22,上海电气,601727,1
BK0867,富时罗素,1938.89,0.85,6641209344.0,0.6,12834340864.0,1.17,-6193131520.0,-0.56,-9061937152.0,-0.82,2420727808.0,0.22,新易盛,300502,0
BK0596,融资融券,3345.02,1.09,6494781440.0,0.31,15796834304.0,0.75,-9302052864.0,-0.44,-11261370368.0,-0.54,4211810304.0,0.2,新易盛,300502,0
BK0714,5G概念,1968.13,1.97,6194672128.0,1.62,8476652032.0,2.22,-2281979904.0,-0.6,-5665038336.0,-1.48,-597639168.0,-0.16,新易盛,300502,0
BK0712,一带一路,1814.66,0.97,5942107648.0,1.68,6876671488.0,1.95,-934563840.0,-0.26,-2420080640.0,-0.69,-3525107712.0,-1.0,上海电气,601727,1
BK1134,算力概念,1998.49,1.94,5848775936.0,2.64,7261255168.0,3.28,-1412479232.0,-0.64,-4022180096.0,-1.82,-1829604608.0,-0.83,新易盛,300502,0
BK0500,HS300_,12647.83,0.74,5567807488.0,0.98,7391481856.0,1.3,-1823674368.0,-0.32,-7029284864.0,-1.23,1461477376.0,0.26,新易盛,300502,0
