代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),10日主力净流入最大股,最大股代码,最大股市场标识
BK1034,其他电源设备Ⅱ,3301.85,6.36,3624425888.0,1.44,3341395872.0,1.33,283030016.0,0.11,-2032775680.0,-0.81,-1593791744.0,-0.63,上海电气,601727,1
BK0457,电网设备,45016.0,10.25,1223451392.0,0.15,8294416640.0,1.0,-7070965248.0,-0.85,-6215716864.0,-0.75,5054691328.0,0.61,中国西电,601179,1
BK0459,元件,40389.98,5.43,1062069248.0,0.14,3658460160.0,0.48,-2596390912.0,-0.34,-8734538752.0,-1.15,7516477696.0,0.99,东山精密,002384,0
BK0450,航运港口,12849.25,4.88,840817376.0,0.36,596877072.0,0.25,243940304.0,0.1,2045438464.0,0.87,-2295616480.0,-0.97,国航远洋,920571,0
BK1020,非金属材料Ⅱ,2100.22,6.01,771902196.0,1.37,826010900.0,1.46,-54108704.0,-0.1,-619713712.0,-1.1,-208813936.0,-0.37,石英股份,603688,1
BK1028,燃气Ⅱ,2159.91,10.51,761070864.0,0.66,1299465824.0,1.12,-538394960.0,-0.46,445330384.0,0.38,-885763552.0,-0.76,九丰能源,605090,1
BK1255,林业Ⅱ,5534.93,0.86,567633497.0,1.32,1600671212.0,3.72,-1033037715.0,-2.4,-981729851.0,-2.28,414096404.0,0.96,平潭发展,000592,0
BK1038,光学光电子,2141.96,3.46,444973872.0,0.11,5368448048.0,1.34,-4923474176.0,-1.23,-1971460352.0,-0.49,1584634368.0,0.4,聚飞光电,300303,0
BK1045,房地产服务,1294.63,-3.69,68667468.0,0.36,41379772.0,0.22,27287696.0,0.14,187371968.0,0.97,-256039376.0,-1.33,我爱我家,000560,0
BK1273,体育Ⅱ,1164.97,-3.48,-17825620.0,-0.32,-113242759.0,-2.01,95417139.0,1.69,151378677.0,2.69,-133553054.0,-2.37,中体产业,600158,1
BK1249,焦炭Ⅱ,1005.77,3.49,-18048633.0,-0.05,188905746.0,0.5,-206954379.0,-0.55,-2053389.0,-0.01,20101984.0,0.05,云煤能源,600792,1
BK1257,农业综合Ⅱ,2874.41,0.55,-52348416.0,-1.24,-27567767.0,-0.65,-24780649.0,-0.59,-44463022.0,-1.05,88553963.0,2.1,润农节水,920964,0
BK1227,特钢Ⅱ,2682.05,8.46,-126526873.0,-0.24,455017172.0,0.88,-581544045.0,-1.12,-414070107.0,-0.8,540597005.0,1.05,常宝股份,002478,0
