代码,名称,最新指数,涨跌幅(%),主力净额(元),主力净占比(%),超大单净额(元),超大单净占比(%),大单净额(元),大单净占比(%),中单净额(元),中单净占比(%),小单净额(元),小单净占比(%),今日主力净流入最大股,最大股代码,最大股市场标识
BK1038,光学光电子,2141.96,7.18,5753977600.0,9.46,6534307840.0,10.75,-780330240.0,-1.28,-2749576192.0,-4.52,-2851898624.0,-4.69,三安光电,600703,1
BK0457,电网设备,45016.0,3.73,4964585728.0,3.91,5714829056.0,4.5,-750243328.0,-0.59,-2328403200.0,-1.83,-2604862208.0,-2.05,中国西电,601179,1
BK0448,通信设备,22795.19,1.78,4898354176.0,3.2,5817271040.0,3.8,-918916864.0,-0.6,-3141099008.0,-2.05,-1805020160.0,-1.18,新易盛,300502,0
BK1034,其他电源设备Ⅱ,3301.85,2.34,3816589072.0,12.89,3777374224.0,12.76,39214848.0,0.13,-1652598528.0,-5.58,-2162207744.0,-7.3,上海电气,601727,1
BK1238,IT服务Ⅱ,9695.06,1.82,2381925888.0,3.12,2822242048.0,3.7,-440316160.0,-0.58,-1673561344.0,-2.19,-821534720.0,-1.08,岩山科技,002195,0
BK1036,半导体,2235.66,2.04,2197441792.0,1.19,591306240.0,0.32,1606135552.0,0.87,-2219749888.0,-1.21,24321280.0,0.01,长电科技,600584,1
BK1033,电池,1469.67,1.33,1702823424.0,3.08,1248526592.0,2.26,454296832.0,0.82,-643945216.0,-1.16,-1028536832.0,-1.86,宁德时代,300750,0
BK1247,基础建设,2482.61,1.17,985237184.0,4.99,1026046912.0,5.19,-40809728.0,-0.21,-411572736.0,-2.08,-567271168.0,-2.87,中国核建,601611,1
BK0459,元件,40389.98,1.19,872322304.0,1.3,55691776.0,0.08,816630528.0,1.22,-839368192.0,-1.25,-41642496.0,-0.06,胜宏科技,300476,0
BK0475,银行Ⅱ,4080.13,0.81,829148160.0,3.2,540850944.0,2.09,288297216.0,1.11,-576947712.0,-2.23,-252200192.0,-0.97,农业银行,601288,1
BK1032,风电设备,1682.05,1.64,742057856.0,4.28,396741376.0,2.29,345316480.0,1.99,-97990144.0,-0.56,-644068096.0,-3.71,金风科技,002202,0
BK0428,电力,20375.02,1.76,711555328.0,1.03,703330048.0,1.02,8225280.0,0.01,-218529024.0,-0.32,-493026560.0,-0.71,华银电力,600744,1
BK1228,冶钢原料,4540.51,1.0,604983664.0,9.17,647912848.0,9.83,-42929184.0,-0.65,-211637600.0,-3.21,-393346048.0,-5.97,方大炭素,600516,1
BK1037,消费电子,2046.21,1.6,547582464.0,1.02,718418944.0,1.34,-170836480.0,-0.32,-736185600.0,-1.37,120840960.0,0.23,工业富联,601138,1
BK0545,通用设备,53644.13,1.71,544701952.0,0.66,893144064.0,1.09,-348442112.0,-0.43,-505965056.0,-0.62,-93339648.0,-0.11,黄河旋风,600172,1
BK1237,自动化设备,10819.64,2.11,499071744.0,1.0,350285056.0,0.7,148786688.0,0.3,-12675840.0,-0.03,-475202560.0,-0.95,大族激光,002008,0
BK1046,游戏Ⅱ,1558.08,1.63,404980848.0,3.09,291092016.0,2.22,113888832.0,0.87,-223118640.0,-1.71,-181862256.0,-1.39,世纪华通,002602,0
BK1274,炼化及贸易,4092.39,-0.16,349270528.0,1.01,673681152.0,1.95,-324410624.0,-0.94,-178159104.0,-0.52,-171111424.0,-0.5,恒逸石化,000703,0
BK1020,非金属材料Ⅱ,2100.22,2.1,341903056.0,9.06,259928272.0,6.89,81974784.0,2.17,-209249936.0,-5.55,-127419248.0,-3.38,石英股份,603688,1
BK0482,一般零售,18999.43,1.25,318331200.0,3.64,350452272.0,4.01,-32121072.0,-0.37,-218744192.0,-2.5,-99587008.0,-1.14,茂业商业,600828,1
BK0735,计算机设备,1748.77,2.06,276263024.0,1.03,219046768.0,0.82,57216256.0,0.21,-447818752.0,-1.67,164073984.0,0.61,中科曙光,603019,1
BK0910,专用设备,3854.31,1.83,248804352.0,0.49,370348544.0,0.73,-121544192.0,-0.24,-266622208.0,-0.52,48181504.0,0.09,山东墨龙,002490,0
BK0740,教育,706.71,2.85,175226463.0,6.47,74593519.0,2.75,100632944.0,3.72,-103364880.0,-3.82,-71861584.0,-2.65,中公教育,002607,0
BK1265,包装印刷,4219.1,1.55,160947312.0,2.18,109740560.0,1.49,51206752.0,0.69,14769488.0,0.2,-172303536.0,-2.34,嘉美包装,002969,0
BK1019,化学原料,1198.65,0.73,117480224.0,0.39,104353568.0,0.35,13126656.0,0.04,43244544.0,0.14,-186136832.0,-0.62,振华股份,603067,1
BK1240,厨卫电器,6891.35,1.9,109645490.0,8.39,69148331.0,5.29,40497159.0,3.1,-34123616.0,-2.61,-75521872.0,-5.78,亿田智能,300911,0
BK1267,造纸,2884.58,1.89,99843552.0,2.67,173619968.0,4.65,-73776416.0,-1.97,-83815088.0,-2.24,-37581232.0,-1.01,安妮股份,002235,0
BK1245,照明设备Ⅱ,2822.83,4.05,97606512.0,2.92,152107520.0,4.55,-54501008.0,-1.63,-6822144.0,-0.2,-50582800.0,-1.51,阳光照明,600261,1
BK1288,金属新材料,6367.41,0.76,77202224.0,0.61,-4709696.0,-0.04,81911920.0,0.65,111722496.0,0.88,-180865584.0,-1.43,博威合金,601137,1
